t,ax,ay,az,gx,gy,gz,mag_valid,mx,my,mz,
14541061,-800,155,16208,-70,-22,105,1,16,1558,272,
5017,-805,174,16207,-78,-23,106,1,23,1563,271,
5027,-807,185,16206,-77,-21,104,1,32,1552,274,
5037,-811,191,16212,-79,-19,104,1,22,1546,278,
5047,-819,181,16218,-75,-25,105,1,26,1552,270,
5057,-823,180,16219,-75,-26,103,1,21,1557,275,
5067,-820,184,16214,-72,-25,106,1,23,1553,269,
5077,-820,185,16216,-74,-24,104,1,30,1558,264,
5087,-821,178,16216,-77,-23,104,1,22,1552,272,
5097,-817,180,16218,-75,-22,104,1,26,1556,264,
5107,-817,180,16213,-76,-24,106,1,26,1556,280,
5117,-817,172,16211,-74,-26,108,1,15,1557,273,
5127,-812,175,16210,-72,-26,111,1,20,1556,272,
5137,-810,174,16218,-76,-27,113,1,27,1557,277,
5147,-812,177,16211,-76,-22,111,1,24,1556,274,
5157,-817,182,16226,-74,-22,108,1,30,1556,278,
5167,-821,175,16219,-72,-23,110,1,28,1554,274,
5177,-818,183,16220,-75,-23,109,1,23,1553,281,
5187,-809,176,16221,-73,-19,110,1,32,1560,276,
5197,-813,181,16225,-74,-19,110,1,23,1553,271,
5207,-811,183,16215,-76,-19,110,1,22,1560,270,
5217,-804,182,16218,-77,-20,110,1,28,1556,276,
5227,-811,178,16226,-78,-21,107,1,25,1557,273,
5237,-814,178,16222,-79,-20,107,1,32,1554,278,
5247,-812,177,16223,-76,-18,103,1,27,1563,271,
5257,-812,178,16221,-78,-21,105,1,29,1555,273,
5267,-813,168,16224,-78,-20,107,1,29,1561,271,
5277,-813,175,16223,-82,-22,108,1,26,1552,272,
5288,-814,179,16222,-81,-19,110,1,31,1555,267,
5298,-816,179,16225,-78,-20,110,1,21,1565,275,
5308,-812,174,16222,-77,-21,107,1,19,1553,275,
5318,-812,172,16203,-81,-24,109,1,23,1555,275,
5328,-813,175,16199,-77,-24,106,1,30,1558,280,
5339,-814,173,16203,-79,-24,104,1,27,1553,279,
5349,-812,170,16202,-78,-21,106,1,22,1548,270,
5359,-820,177,16203,-82,-21,106,1,25,1559,277,
5369,-819,179,16197,-84,-22,107,1,23,1549,283,
5379,-817,181,16197,-85,-22,105,1,23,1555,275,
5389,-816,187,16195,-84,-22,106,1,26,1562,282,
5400,-812,182,16193,-84,-21,108,1,20,1552,276,
5410,-813,182,16197,-81,-22,107,1,21,1555,279,
5420,-814,175,16211,-80,-22,109,1,23,1557,271,
5430,-811,175,16197,-81,-25,107,1,29,1551,277,
5440,-810,168,16205,-83,-26,106,1,23,1557,273,
5451,-813,165,16208,-82,-26,104,1,19,1555,271,
5461,-812,167,16207,-86,-25,102,1,21,1555,277,
5471,-813,168,16205,-82,-22,104,1,22,1558,272,
5481,-810,170,16207,-83,-21,103,1,27,1561,275,
5491,-808,174,16210,-79,-20,103,1,27,1551,273,
