t,ax,ay,az,gx,gy,gz,mag_valid,mx,my,mz,
5017,-1241,161,16160,-80,-17,107,1,16,1574,300,
5027,-1242,156,16159,-81,-20,109,1,16,1578,300,
5037,-1241,169,16159,-79,-20,110,1,12,1578,306,
5047,-1244,164,16172,-80,-21,106,1,12,1576,298,
5057,-1249,158,16178,-75,-23,109,1,11,1569,303,
5067,-1247,159,16181,-75,-24,109,1,11,1567,299,
5077,-1248,164,16172,-74,-21,108,1,14,1572,304,
5087,-1244,162,16172,-74,-19,108,1,19,1577,307,
5097,-1246,164,16166,-77,-19,107,1,8,1574,306,
5107,-1242,171,16162,-77,-19,104,1,14,1572,304,
5117,-1252,169,16167,-79,-21,106,1,22,1572,304,
5127,-1256,170,16150,-78,-18,102,1,14,1576,300,
5137,-1248,167,16160,-76,-16,102,1,11,1575,299,
5147,-1243,162,16166,-74,-17,102,1,17,1573,303,
5157,-1239,160,16162,-72,-19,103,1,14,1572,304,
5167,-1250,164,16153,-78,-19,103,1,8,1576,300,
5177,-1244,161,16159,-78,-21,108,1,19,1573,305,
5187,-1247,162,16163,-80,-20,107,1,11,1577,299,
5197,-1239,161,16159,-78,-19,108,1,18,1572,312,
5207,-1240,164,16170,-80,-20,107,1,8,1578,304,
5217,-1235,166,16169,-81,-17,109,1,16,1574,306,
5227,-1243,165,16165,-82,-18,112,1,18,1572,298,
5237,-1245,161,16171,-82,-21,112,1,15,1575,307,
5247,-1240,167,16165,-80,-18,110,1,12,1572,302,
5257,-1243,156,16160,-78,-20,109,1,17,1569,305,
5267,-1245,163,16157,-79,-22,109,1,16,1574,306,
5277,-1239,168,16162,-76,-20,107,1,9,1575,301,
5287,-1235,169,16173,-78,-19,107,1,6,1570,312,
5298,-1235,164,16164,-78,-20,107,1,16,1574,306,
5308,-1240,161,16162,-80,-20,105,1,16,1578,298,
5318,-1237,164,16163,-78,-21,105,1,16,1578,300,
5328,-1230,162,16159,-75,-24,106,1,4,1578,304,
5339,-1224,161,16156,-75,-21,106,1,11,1569,303,
5349,-1233,170,16160,-73,-21,109,1,9,1577,299,
5359,-1227,171,16163,-75,-24,108,1,13,1575,305,
5369,-1225,171,16169,-75,-20,108,1,14,1572,300,
5379,-1230,174,16175,-78,-21,110,1,9,1573,307,
5389,-1235,168,16182,-73,-20,109,1,8,1570,302,
5399,-1234,173,16164,-71,-17,110,1,12,1574,308,
5410,-1232,175,16162,-70,-18,108,1,10,1578,298,
5420,-1239,169,16157,-73,-21,107,1,16,1580,306,
5430,-1240,164,16157,-77,-19,108,1,5,1573,305,
5440,-1243,163,16150,-78,-18,108,1,12,1568,300,
5451,-1240,167,16160,-79,-19,106,1,17,1581,299,
5461,-1241,170,16159,-80,-19,108,1,11,1573,307,
5471,-1242,163,16150,-79,-23,108,1,11,1575,299,
5481,-1248,159,16139,-81,-22,104,1,8,1570,304,
5491,-1241,153,16144,-79,-21,108,1,16,1574,306,
5501,-1237,154,16156,-79,-21,106,1,13,1573,297,
5511,-1240,156,16163,-78,-22,108,1,14,1572,306,
5522,-1233,155,16162,-77,-21,106,1,13,1579,307,
5532,-1232,147,16156,-80,-21,107,1,7,1573,309,
5542,-1233,156,16153,-80,-23,108,1,21,1569,309,
5552,-1235,156,16165,-80,-19,106,1,14,1576,300,
5563,-1232,162,16154,-83,-16,107,1,21,1571,299,
5573,-1238,159,16167,-81,-19,105,1,4,1572,308,
5583,-1240,160,16157,-78,-19,107,1,3,1573,307,
5593,-1240,160,16162,-78,-22,103,1,16,1578,312,
5603,-1239,162,16150,-80,-22,105,1,14,1576,300,
5613,-1239,160,16153,-80,-22,105,1,14,1568,310,
5634,-1252,157,16171,-82,-18,103,1,17,1575,309,
5654,-1252,159,16171,-83,-18,103,1,15,1573,299,
5675,-1251,162,16178,-83,-19,108,1,17,1575,307,
5695,-1247,162,16169,-84,-21,113,1,13,1573,305,
5715,-1238,168,16179,-83,-19,110,1,14,1576,298,
5736,-1246,169,16165,-77,-22,110,1,10,1570,302,
5756,-1235,172,16163,-72,-24,110,1,7,1571,303,
5776,-1237,170,16160,-77,-24,104,1,17,1579,311,
5797,-1241,167,16167,-77,-26,100,1,18,1568,310,
5817,-1248,179,16162,-76,-20,103,1,19,1577,303,
5837,-1245,170,16168,-77,-23,104,1,7,1575,299,
5858,-1248,159,16157,-80,-23,103,1,15,1571,297,
5878,-1246,155,16157,-80,-20,106,1,16,1578,310,
5899,-1250,151,16161,-79,-19,109,1,14,1576,306,
5919,-1253,162,16144,-75,-16,110,1,17,1583,305,
5939,-1243,160,16153,-77,-17,109,1,11,1575,305,
5960,-1237,165,16167,-81,-14,110,1,15,1573,311,
5980,-1234,154,16164,-79,-17,103,1,22,1576,304,
6000,-1238,157,16175,-78,-18,103,1,12,1582,300,
6021,-1246,152,16166,-78,-25,106,1,10,1576,310,
6041,-1250,152,16172,-73,-20,107,1,9,1569,303,
6061,-1248,168,16162,-74,-20,109,1,11,1567,313,
6082,-1233,162,16149,-74,-24,108,1,17,1569,301,
6102,-1233,156,16160,-75,-21,110,1,14,1576,306,
6123,-1231,158,16176,-77,-21,107,1,10,1570,300,
6143,-1247,171,16169,-77,-21,107,1,15,1571,305,
6163,-1255,168,16156,-78,-21,100,1,13,1577,299,
6184,-1247,160,16151,-78,-18,99,1,19,1573,305,
6204,-1238,164,16154,-77,-22,101,1,11,1575,303,
6224,-1240,160,16158,-80,-24,107,1,9,1573,307,
6245,-1230,162,16158,-78,-26,108,1,18,1572,298,
6265,-1223,154,16156,-75,-23,108,1,16,1568,306,
6285,-1225,160,16172,-74,-25,110,1,15,1577,303,
6306,-1231,155,16163,-81,-26,106,1,20,1570,298,
6326,-1244,178,16176,-84,-24,105,1,16,1572,300,
6347,-1244,173,16171,-82,-24,107,1,16,1574,306,
6367,-1248,168,16166,-78,-23,103,1,20,1566,298,
