t,ax,ay,az,gx,gy,gz,mag_valid,mx,my,mz,
18278,-1576,331,16146,-69,-25,107,1,17,1567,305,
18298,-1572,322,16150,-75,-29,109,1,18,1570,292,
18319,-1584,346,16151,-83,-12,106,1,26,1566,300,
5017,-1596,344,16138,-77,-18,105,1,23,1567,303,
5027,-1593,338,16152,-79,-19,107,1,23,1561,297,
5037,-1598,342,16156,-81,-22,103,1,24,1564,298,
5047,-1596,336,16161,-81,-20,104,1,26,1566,304,
5057,-1597,342,16154,-81,-22,105,1,21,1573,301,
5067,-1601,341,16159,-81,-24,107,1,23,1563,301,
5077,-1595,344,16161,-80,-22,105,1,22,1564,302,
5087,-1596,346,16151,-79,-21,106,1,24,1564,296,
5097,-1598,346,16148,-82,-19,102,1,16,1566,300,
5107,-1587,348,16150,-82,-21,103,1,19,1569,299,
5117,-1586,348,16148,-80,-24,105,1,13,1563,291,
5127,-1576,342,16147,-81,-24,108,1,26,1572,302,
5137,-1582,348,16151,-79,-21,110,1,17,1559,299,
5147,-1584,347,16159,-77,-20,110,1,23,1565,295,
5157,-1588,336,16162,-78,-22,109,1,24,1562,298,
5167,-1589,333,16157,-79,-20,111,1,19,1569,297,
5177,-1587,341,16158,-77,-21,106,1,22,1562,296,
5187,-1582,342,16158,-78,-21,107,1,19,1559,297,
5197,-1587,343,16160,-78,-22,107,1,22,1562,292,
5207,-1589,345,16159,-81,-25,108,1,24,1566,296,
5217,-1587,344,16151,-81,-27,109,1,22,1560,302,
5227,-1585,345,16146,-80,-26,109,1,23,1563,295,
5237,-1583,351,16135,-76,-30,110,1,18,1560,302,
5247,-1581,359,16137,-79,-24,112,1,27,1571,295,
5257,-1587,352,16140,-77,-24,108,1,20,1570,300,
5267,-1582,344,16148,-77,-23,108,1,28,1566,294,
5277,-1580,341,16146,-78,-22,105,1,18,1560,308,
5287,-1581,344,16158,-79,-24,106,1,18,1560,300,
5298,-1580,346,16146,-74,-19,109,1,18,1568,312,
5308,-1582,345,16143,-73,-20,108,1,21,1569,301,
5318,-1591,343,16147,-72,-22,110,1,27,1563,299,
5328,-1595,343,16146,-73,-22,113,1,16,1566,298,
5338,-1588,345,16145,-73,-23,112,1,22,1564,298,
5349,-1585,350,16148,-74,-21,108,1,15,1565,301,
5359,-1593,348,16155,-76,-21,108,1,23,1569,299,
5369,-1590,348,16145,-76,-23,106,1,26,1564,302,
5379,-1583,345,16134,-75,-22,108,1,17,1561,293,
5389,-1584,340,16137,-73,-21,107,1,20,1562,300,
5399,-1592,340,16139,-74,-18,106,1,25,1565,299,
5410,-1595,336,16143,-74,-20,107,1,19,1565,303,
5420,-1591,339,16136,-79,-21,108,1,24,1566,304,
5430,-1592,332,16144,-79,-23,108,1,11,1561,295,
5440,-1581,337,16147,-76,-21,111,1,15,1571,301,
5450,-1580,332,16135,-78,-23,105,1,21,1565,301,
5461,-1577,331,16132,-77,-24,106,1,24,1562,300,
5471,-1582,335,16139,-75,-22,107,1,22,1566,306,
5481,-1588,349,16148,-70,-24,107,1,19,1571,303,
5491,-1586,346,16155,-73,-21,109,1,31,1563,297,
5501,-1577,351,16153,-77,-18,110,1,16,1564,302,
5511,-1578,350,16142,-79,-21,107,1,21,1561,309,
5521,-1579,355,16130,-77,-22,111,1,21,1571,305,
5532,-1583,361,16129,-78,-23,111,1,23,1563,303,
5542,-1582,365,16140,-74,-23,111,1,26,1564,304,
5552,-1580,367,16133,-76,-20,111,1,16,1568,300,
5562,-1580,358,16123,-81,-18,108,1,19,1563,303,
5573,-1584,352,16129,-82,-19,108,1,18,1560,294,
5583,-1583,355,16139,-82,-17,108,1,20,1568,296,
5593,-1579,357,16144,-82,-20,106,1,20,1566,304,
5603,-1582,359,16150,-82,-20,106,1,21,1573,295,
5613,-1580,365,16147,-78,-18,106,1,16,1564,298,
5623,-1581,349,16138,-75,-18,105,1,24,1564,304,
5644,-1575,348,16144,-73,-18,110,1,18,1566,300,
5664,-1581,342,16159,-79,-17,109,1,22,1564,306,
5685,-1582,361,16149,-81,-19,106,1,19,1565,301,
5705,-1583,346,16143,-81,-22,98,1,25,1565,299,
5725,-1585,345,16150,-75,-24,100,1,16,1564,298,
5745,-1583,343,16137,-77,-25,106,1,22,1564,298,
5766,-1598,353,16160,-79,-23,105,1,20,1562,300,
5786,-1590,351,16163,-78,-22,106,1,22,1564,304,
5807,-1584,345,16147,-77,-20,110,1,21,1561,295,
5827,-1592,346,16134,-80,-20,109,1,21,1557,301,
5847,-1591,348,16127,-77,-22,106,1,27,1561,295,
5868,-1590,348,16137,-78,-21,105,1,20,1558,298,
5888,-1582,344,16142,-75,-23,107,1,26,1560,300,
5908,-1584,343,16134,-71,-23,110,1,18,1562,304,
5929,-1591,342,16130,-73,-21,107,1,21,1561,299,
5949,-1597,346,16136,-73,-22,107,1,13,1565,297,
5970,-1591,339,16137,-76,-19,108,1,22,1562,300,
5990,-1593,354,16144,-75,-21,105,1,21,1563,299,
6010,-1592,348,16141,-78,-24,107,1,16,1568,298,
6030,-1592,344,16153,-80,-21,105,1,28,1564,298,
6051,-1584,342,16150,-83,-21,107,1,30,1566,304,
6071,-1580,342,16141,-79,-21,105,1,26,1562,296,
6091,-1587,347,16149,-78,-21,106,1,20,1562,298,
6112,-1590,350,16156,-82,-22,103,1,19,1565,301,
6132,-1591,348,16154,-80,-18,104,1,23,1563,301,
6153,-1583,347,16155,-80,-18,99,1,19,1569,289,
6173,-1587,340,16151,-82,-16,103,1,18,1562,294,
6193,-1592,339,16169,-83,-17,102,1,17,1569,303,
6213,-1589,339,16145,-84,-19,106,1,20,1572,302,
6234,-1577,338,16152,-82,-21,106,1,20,1560,306,
6254,-1592,352,16162,-83,-21,109,1,22,1570,294,
6275,-1589,352,16158,-80,-17,111,1,17,1561,309,
6295,-1595,355,16150,-78,-16,111,1,17,1559,293,
6315,-1596,347,16160,-77,-17,109,1,23,1567,289,
6336,-1584,345,16147,-82,-20,107,1,13,1559,301,
6356,-1578,348,16149,-79,-21,102,1,28,1562,296,
6376,-1576,354,16149,-78,-20,107,1,22,1564,308,
6397,-1582,356,16132,-81,-20,107,1,23,1563,293,
6417,-1614,381,16176,-37,-56,79,1,26,1558,294,
6438,-1569,305,16119,-28,-62,104,1,25,1569,311,
6458,-1571,297,16110,-89,-6,101,1,19,1569,301,
6478,-1606,356,16143,-96,-10,98,1,25,1561,303,
6498,-1581,329,16104,-70,-25,111,1,22,1566,296,
6519,-1573,300,16118,-156,52,127,1,18,1568,300,
6539,-1658,432,16188,-129,31,99,1,27,1571,299,
6560,-1623,387,16172,-20,-67,105,1,19,1567,301,
6580,-1533,292,16123,-21,-52,108,1,20,1562,308,
6600,-1597,329,16162,-49,-22,118,1,24,1566,296,
6621,-1572,401,16165,35,-78,135,1,21,1569,305,
6641,-1570,314,16100,22,-110,112,1,20,1562,302,
6661,-1550,285,16094,-39,-38,120,1,16,1568,304,
6671,-1564,325,16136,-58,-14,110,1,23,1565,297,
6692,-1555,361,16174,-83,-31,102,1,19,1563,295,
6712,-1549,298,16151,-135,5,102,1,22,1566,300,
6733,-1622,361,16164,-137,22,107,1,25,1565,299,
6753,-1585,350,16146,-86,-22,100,1,22,1572,298,
6773,-1642,402,16172,-12,-48,82,1,25,1565,301,
6793,-1625,411,16189,71,-149,98,1,22,1554,306,
6814,-1536,254,16124,26,-164,120,1,22,1556,300,
6834,-1567,263,16121,-56,-43,109,1,19,1561,303,
6855,-1661,390,16196,67,-79,153,1,13,1563,299,
6875,-1583,296,16118,159,-120,190,1,17,1565,303,
6895,-1477,243,16154,214,-48,174,1,24,1566,302,
6916,-1484,265,16173,265,-38,197,1,23,1567,299,
6936,-1445,374,16185,316,-71,173,1,23,1563,297,
6957,-1403,325,16181,292,-81,186,1,22,1552,302,
6977,-1441,276,16184,234,-89,255,1,22,1556,310,
6997,-1580,272,16196,319,-76,464,1,27,1561,305,
7017,-1601,358,16254,488,-74,806,1,28,1554,298,
7038,-1482,354,16284,679,71,833,1,22,1554,308,
7058,-1412,226,16262,823,87,621,1,28,1560,296,
7078,-1338,160,16365,906,290,398,1,22,1560,306,
7099,-1166,322,16241,996,721,191,1,21,1559,305,
7119,-898,271,16068,720,685,-58,1,17,1555,313,
7140,-1009,29,16638,565,1398,-336,1,21,1563,309,
7160,-1130,-154,16910,670,2877,-631,1,20,1568,304,
7180,-1151,30,16941,899,4505,-912,1,20,1564,306,
7201,-1114,429,17015,1045,5827,-1082,1,19,1569,303,
7221,-1092,1019,17072,886,6446,-1061,1,27,1563,307,
7241,-1096,1640,16934,493,6386,-860,1,13,1565,307,
7262,-1083,2176,16740,80,5741,-487,1,15,1565,297,
7282,-1114,2502,16670,-217,4716,-303,1,20,1572,304,
7302,-1218,2650,16558,-410,3432,-296,1,19,1565,305,
7323,-1300,2713,16417,-485,2045,-310,1,30,1564,300,
7343,-1329,2795,16472,-423,978,-320,1,19,1567,299,
7363,-1309,2658,16700,-305,443,-384,1,19,1567,301,
7384,-1270,2486,16802,-227,568,-436,1,16,1572,304,
7404,-1227,2410,16765,-165,1273,-529,1,13,1565,301,
7424,-1182,2373,16678,-28,2471,-654,1,21,1567,297,
7445,-1092,2492,16576,63,3772,-711,1,16,1572,292,
7465,-1054,2781,16472,44,4991,-729,1,19,1573,303,
7485,-1036,3152,16370,27,5923,-705,1,23,1579,295,
7506,-1024,3444,16217,35,6519,-640,1,24,1576,296,
7526,-956,3686,16059,7,6827,-633,1,25,1583,295,
7547,-932,3977,15886,-2,6966,-683,1,9,1579,285,
7567,-935,4285,15741,73,7021,-706,1,19,1575,285,
7587,-885,4580,15624,128,7067,-676,1,28,1586,294,
7608,-819,4825,15527,127,7190,-612,1,19,1583,291,
7628,-832,4982,15395,70,7322,-621,1,19,1585,287,
7648,-888,5203,15352,24,7389,-666,1,26,1586,286,
7669,-943,5498,15221,132,7395,-637,1,30,1584,280,
7689,-893,5786,15066,268,7405,-601,1,24,1592,278,
7709,-865,6036,14825,385,7340,-575,1,20,1590,282,
7730,-778,6357,14610,491,7256,-570,1,18,1588,278,
7750,-709,6692,14265,627,7169,-593,1,20,1596,278,
7770,-656,6983,13940,780,7020,-636,1,20,1598,278,
7791,-593,7320,13811,886,6698,-704,1,22,1600,276,
7811,-534,7748,13805,1051,6309,-809,1,23,1589,275,
7832,-443,7918,13758,1188,6128,-914,1,24,1594,272,
7852,-301,8008,13547,1247,6184,-938,1,23,1597,277,
7873,-168,8172,13290,1219,6484,-893,1,21,1599,273,
7893,-50,8377,13117,1173,6994,-841,1,19,1597,267,
7913,14,8621,12923,1122,7593,-808,1,19,1603,261,
7933,30,8951,12688,1097,8195,-744,1,17,1601,263,
7954,53,9294,12506,1091,8610,-647,1,22,1610,272,
7974,91,9655,12349,1086,8833,-543,1,26,1606,266,
7995,162,9988,12144,1055,8881,-456,1,21,1601,263,
8015,230,10288,11850,1025,8778,-437,1,21,1611,267,
8035,244,10635,11588,1045,8641,-510,1,16,1606,258,
8056,293,10912,11382,1042,8585,-607,1,14,1606,262,
8076,291,11139,11059,990,8599,-702,1,17,1619,261,
8096,264,11399,10754,908,8579,-767,1,13,1609,259,
8117,242,11671,10562,850,8496,-799,1,18,1604,252,
8137,275,11992,10404,843,8483,-887,1,15,1613,241,
8157,303,12295,10181,878,8510,-1058,1,20,1612,244,
8178,377,12619,9930,906,8473,-1130,1,20,1608,248,
8198,479,12868,9607,856,8361,-1206,1,22,1618,240,
8219,565,13119,9362,810,8274,-1270,1,15,1617,249,
8239,642,13378,9137,688,8126,-1353,1,17,1623,245,
8259,695,13714,8855,583,7905,-1282,1,15,1615,243,
8280,734,13868,8519,485,7588,-1157,1,16,1616,242,
8300,743,13890,8083,379,7056,-947,1,10,1622,238,
8320,794,13957,7638,245,6276,-724,1,14,1616,232,
8341,866,14112,7268,120,5507,-651,1,15,1627,235,
8361,946,14229,7158,49,5027,-740,1,16,1618,234,
8381,990,14304,7008,37,4835,-828,1,16,1618,230,
8402,1042,14326,6797,30,4755,-892,1,21,1623,239,
8422,1149,14396,6651,28,4721,-914,1,16,1620,236,
8442,1254,14521,6507,1,4811,-907,1,22,1622,230,
8463,1323,14628,6392,-38,5039,-828,1,18,1616,224,
8483,1389,14650,6234,-126,5264,-606,1,21,1617,233,
8503,1436,14697,5986,-239,5398,-297,1,26,1620,224,
8524,1465,14812,5727,-332,5383,-37,1,15,1621,217,
8544,1468,15041,5598,-382,5330,118,1,12,1618,228,
8564,1427,15223,5501,-349,5439,179,1,30,1622,218,
