t,ax,ay,az,gx,gy,gz,mag_valid,mx,my,mz,
5017,-1516,568,16143,-78,-24,111,1,23,1565,297,
5027,-1512,568,16145,-77,-26,114,1,23,1555,301,
5037,-1507,561,16136,-78,-24,109,1,16,1562,296,
5047,-1503,559,16141,-77,-21,108,1,23,1563,303,
5057,-1509,558,16131,-80,-21,109,1,27,1561,301,
5067,-1503,559,16143,-81,-21,108,1,15,1555,301,
5077,-1508,558,16149,-80,-23,107,1,28,1566,312,
5087,-1508,568,16142,-79,-22,108,1,17,1563,303,
5097,-1507,556,16130,-81,-23,107,1,21,1561,301,
5107,-1507,561,16143,-81,-23,108,1,19,1555,297,
5117,-1506,560,16141,-80,-21,110,1,23,1561,301,
5127,-1511,563,16143,-79,-20,112,1,25,1565,299,
5137,-1506,561,16147,-79,-21,111,1,26,1560,302,
5147,-1505,569,16139,-76,-19,109,1,18,1562,300,
5157,-1507,574,16156,-77,-20,108,1,24,1570,298,
5167,-1511,580,16157,-76,-22,107,1,33,1555,297,
5177,-1502,580,16145,-77,-23,108,1,27,1559,301,
5187,-1509,582,16141,-76,-21,108,1,19,1567,301,
5197,-1508,576,16144,-75,-20,112,1,20,1562,296,
5207,-1507,579,16131,-76,-19,110,1,20,1562,302,
5217,-1509,574,16133,-74,-21,109,1,20,1562,296,
5227,-1506,575,16130,-74,-25,109,1,26,1568,296,
5237,-1502,583,16137,-78,-22,107,1,28,1566,302,
5247,-1503,583,16137,-76,-18,108,1,30,1570,302,
5257,-1505,591,16139,-78,-23,108,1,23,1567,303,
5267,-1505,587,16140,-81,-24,110,1,21,1567,297,
5277,-1504,572,16141,-82,-23,111,1,24,1562,298,
5288,-1507,568,16153,-83,-24,110,1,21,1563,303,
5298,-1506,569,16144,-82,-22,110,1,24,1564,292,
5308,-1514,571,16136,-86,-21,110,1,20,1564,296,
5318,-1505,571,16133,-83,-20,107,1,20,1556,296,
5328,-1504,570,16129,-87,-21,108,1,24,1558,304,
5338,-1503,571,16133,-85,-21,112,1,24,1568,298,
5349,-1507,574,16144,-82,-21,111,1,21,1561,297,
5359,-1502,580,16145,-82,-20,110,1,17,1561,309,
5369,-1507,581,16145,-82,-20,107,1,21,1563,303,
5379,-1514,580,16145,-79,-17,107,1,24,1562,292,
5390,-1529,573,16141,-80,-18,109,1,18,1560,294,
5400,-1522,580,16141,-81,-18,109,1,20,1564,298,
5410,-1519,581,16151,-83,-19,111,1,14,1564,300,
5420,-1521,573,16146,-85,-20,108,1,23,1557,299,
5430,-1518,573,16151,-83,-19,106,1,24,1564,294,
5440,-1519,576,16157,-82,-19,103,1,32,1560,304,
5450,-1520,577,16152,-79,-21,105,1,19,1569,299,
5461,-1526,574,16136,-81,-21,106,1,27,1563,303,
5471,-1525,568,16129,-81,-24,107,1,21,1553,295,
5481,-1517,565,16134,-80,-22,106,1,18,1554,308,
5491,-1509,563,16142,-79,-22,107,1,17,1559,297,
5501,-1509,563,16140,-78,-26,111,1,18,1558,302,
5512,-1512,566,16147,-81,-26,108,1,30,1562,298,
5522,-1513,575,16145,-82,-24,106,1,24,1568,300,
5532,-1509,570,16148,-78,-29,108,1,20,1560,290,
5542,-1506,574,16142,-80,-30,105,1,16,1568,296,
5552,-1508,575,16139,-78,-25,105,1,22,1558,300,
5562,-1506,573,16139,-77,-24,108,1,22,1562,298,
5572,-1509,575,16137,-78,-24,107,1,17,1559,305,
5583,-1510,580,16133,-81,-26,107,1,15,1559,305,
5593,-1506,577,16134,-80,-25,105,1,21,1567,299,
5603,-1511,575,16122,-79,-25,107,1,21,1561,303,
5613,-1508,566,16133,-77,-25,103,1,19,1557,293,
5634,-1514,566,16136,-78,-27,100,1,25,1565,295,
5654,-1508,571,16144,-74,-24,105,1,23,1563,297,
5674,-1509,570,16139,-78,-24,107,1,23,1567,293,
5694,-1502,565,16147,-76,-23,105,1,17,1561,299,
5715,-1513,565,16143,-79,-22,107,1,27,1561,297,
5735,-1508,569,16137,-77,-25,112,1,23,1559,297,
5756,-1509,573,16147,-79,-21,111,1,23,1563,305,
5776,-1516,572,16150,-78,-19,108,1,14,1562,304,
5796,-1510,580,16136,-78,-20,103,1,19,1563,303,
5817,-1514,578,16140,-76,-21,108,1,12,1564,304,
5837,-1523,577,16141,-75,-23,109,1,14,1560,302,
5857,-1520,576,16133,-73,-20,109,1,26,1560,304,
5878,-1523,584,16144,-74,-22,105,1,25,1559,289,
5898,-1517,580,16138,-78,-23,105,1,19,1561,299,
5919,-1515,585,16137,-74,-25,108,1,25,1561,299,
5939,-1518,585,16117,-77,-23,106,1,21,1565,299,
5959,-1512,586,16118,-81,-21,103,1,17,1567,299,
5979,-1514,584,16116,-82,-18,114,1,32,1558,300,
