t,ax,ay,az,gx,gy,gz,mag_valid,mx,my,mz,
5017,-1604,180,16131,-78,-18,109,1,16,1558,302,
5027,-1603,181,16130,-81,-21,107,1,21,1559,301,
5037,-1608,195,16135,-79,-25,107,1,20,1552,292,
5047,-1605,192,16125,-78,-21,106,1,18,1558,298,
5057,-1606,194,16119,-80,-21,107,1,19,1557,305,
5067,-1601,195,16113,-78,-24,106,1,16,1562,296,
5077,-1604,195,16125,-78,-28,108,1,15,1559,307,
5087,-1601,187,16137,-78,-24,105,1,19,1557,301,
5097,-1605,182,16149,-79,-22,106,1,20,1560,292,
5107,-1608,189,16155,-80,-21,104,1,17,1563,301,
5117,-1612,188,16157,-82,-21,102,1,20,1566,302,
5127,-1610,184,16144,-81,-19,103,1,19,1561,297,
5137,-1606,180,16145,-82,-20,106,1,22,1560,300,
5147,-1610,180,16148,-83,-18,107,1,18,1558,300,
5157,-1604,180,16150,-81,-17,109,1,23,1559,309,
5167,-1596,183,16149,-78,-16,110,1,22,1558,300,
5177,-1591,186,16152,-76,-16,110,1,21,1567,301,
5187,-1592,180,16148,-78,-16,109,1,17,1567,295,
5197,-1594,175,16163,-81,-18,110,1,17,1559,297,
5207,-1593,177,16153,-80,-21,110,1,20,1562,304,
5217,-1600,176,16153,-78,-20,109,1,13,1555,295,
5227,-1593,178,16155,-79,-19,109,1,18,1556,300,
5237,-1595,189,16156,-80,-18,109,1,15,1555,297,
5247,-1596,191,16161,-79,-20,109,1,15,1553,299,
5257,-1603,193,16156,-77,-17,108,1,23,1557,299,
5267,-1601,201,16146,-77,-17,109,1,15,1559,291,
5277,-1606,190,16148,-79,-19,108,1,18,1560,294,
5287,-1616,185,16136,-82,-18,108,1,23,1557,301,
5297,-1618,180,16157,-80,-15,110,1,26,1566,300,
5308,-1611,186,16148,-80,-19,111,1,26,1562,298,
5318,-1609,189,16150,-82,-22,112,1,20,1558,300,
5328,-1608,187,16146,-83,-20,113,1,16,1558,306,
5338,-1603,190,16150,-81,-19,113,1,22,1564,300,
5349,-1601,186,16148,-80,-23,111,1,27,1563,295,
5359,-1602,184,16149,-80,-23,113,1,18,1554,304,
5369,-1611,183,16159,-80,-26,111,1,22,1558,298,
5379,-1613,185,16160,-80,-25,113,1,26,1566,292,
5389,-1615,179,16161,-83,-23,111,1,24,1560,298,
5399,-1607,176,16149,-81,-22,111,1,20,1554,298,
5409,-1618,179,16149,-80,-21,113,1,19,1561,313,
5420,-1614,191,16148,-79,-22,114,1,19,1559,303,
5430,-1614,193,16143,-80,-23,114,1,20,1564,306,
5440,-1605,191,16144,-81,-22,115,1,26,1556,302,
5450,-1605,190,16142,-80,-22,111,1,16,1556,300,
5461,-1609,186,16140,-81,-21,107,1,13,1563,311,
5471,-1611,186,16135,-80,-20,111,1,27,1569,295,
5481,-1609,190,16130,-84,-23,113,1,19,1561,293,
5491,-1611,182,16127,-80,-25,111,1,22,1560,304,
5501,-1608,189,16131,-77,-26,109,1,19,1561,299,
5511,-1612,180,16129,-80,-25,105,1,21,1559,303,
5521,-1613,175,16126,-81,-23,105,1,20,1564,306,
5532,-1615,177,16141,-80,-25,107,1,16,1560,300,
5542,-1619,169,16134,-82,-25,108,1,17,1557,297,
5552,-1610,165,16130,-80,-23,105,1,24,1564,300,
5562,-1610,171,16124,-83,-27,103,1,19,1565,307,
5573,-1608,170,16112,-82,-25,104,1,27,1561,305,
5583,-1611,168,16118,-79,-24,109,1,22,1554,300,
5593,-1611,171,16115,-80,-21,109,1,21,1559,297,
5603,-1611,173,16123,-81,-24,106,1,20,1560,294,
5613,-1610,175,16126,-82,-21,106,1,19,1559,297,
5623,-1602,178,16122,-81,-22,108,1,15,1561,299,
5644,-1604,182,16129,-77,-25,109,1,15,1553,305,
5664,-1605,178,16139,-79,-23,107,1,21,1561,293,
5685,-1603,167,16144,-80,-24,102,1,22,1562,300,
5705,-1607,168,16138,-79,-19,99,1,27,1561,303,
5725,-1608,176,16130,-80,-19,102,1,22,1558,298,
5746,-1609,176,16138,-81,-17,107,1,12,1560,294,
5766,-1604,180,16143,-81,-22,101,1,17,1555,309,
5786,-1601,180,16143,-83,-23,106,1,13,1567,303,
5807,-1611,184,16138,-81,-26,108,1,10,1560,300,
5827,-1616,184,16131,-84,-24,107,1,21,1561,293,
5847,-1602,187,16132,-78,-20,110,1,23,1555,299,
5868,-1605,182,16138,-80,-23,116,1,18,1558,302,
5888,-1588,175,16136,-82,-23,117,1,16,1556,314,
5909,-1594,181,16127,-80,-22,110,1,18,1554,298,
5929,-1603,181,16121,-81,-25,108,1,25,1555,301,
5949,-1610,184,16120,-82,-25,109,1,15,1557,297,
5970,-1605,184,16131,-78,-27,111,1,25,1555,303,
5990,-1608,182,16139,-79,-27,113,1,23,1555,307,
6010,-1603,193,16142,-79,-24,112,1,23,1561,297,
6030,-1604,182,16135,-77,-28,111,1,19,1561,303,
6051,-1600,186,16140,-75,-28,115,1,16,1556,298,
6071,-1602,187,16147,-77,-25,113,1,23,1561,299,
6092,-1609,189,16146,-75,-25,111,1,28,1558,298,
6112,-1599,191,16128,-78,-24,108,1,24,1570,296,
6133,-1600,190,16138,-79,-23,108,1,22,1556,296,
6153,-1604,197,16130,-81,-20,107,1,23,1563,305,
6173,-1600,189,16144,-81,-18,103,1,25,1565,307,
6193,-1613,192,16143,-80,-15,105,1,21,1557,299,
6214,-1604,189,16142,-80,-21,106,1,25,1557,299,
6234,-1602,188,16134,-79,-24,106,1,25,1559,303,
6254,-1600,183,16127,-81,-25,108,1,22,1556,314,
6275,-1602,173,16138,-81,-28,106,1,17,1557,297,
6295,-1605,179,16131,-83,-26,111,1,14,1554,296,
6316,-1611,179,16129,-82,-26,111,1,26,1562,296,
6336,-1607,185,16134,-81,-28,110,1,26,1556,296,
6357,-1601,184,16127,-79,-26,106,1,13,1557,301,
6377,-1594,177,16114,-76,-24,105,1,25,1555,303,
6397,-1597,183,16118,-76,-28,112,1,24,1558,298,
6417,-1600,175,16134,-75,-26,110,1,23,1557,293,
6438,-1603,186,16139,-81,-22,109,1,18,1560,304,
6458,-1599,185,16133,-85,-17,109,1,18,1558,306,
6478,-1601,179,16143,-84,-19,105,1,20,1558,304,
6499,-1593,175,16157,-87,-19,108,1,14,1556,298,
6519,-1599,182,16154,-83,-24,109,1,20,1556,292,
6540,-1611,175,16161,-82,-23,112,1,21,1565,299,
6560,-1609,186,16151,-80,-19,108,1,13,1563,301,
6580,-1605,200,16164,-81,-18,109,1,16,1558,296,
6601,-1608,185,16156,-76,-19,111,1,20,1556,296,
6621,-1602,177,16152,-78,-18,107,1,8,1560,302,
6641,-1605,175,16140,-81,-18,110,1,23,1555,295,
6662,-1604,179,16131,-85,-23,106,1,16,1554,300,
6682,-1609,185,16140,-82,-16,109,1,22,1562,298,
6702,-1602,178,16144,-83,-20,111,1,15,1559,303,
6712,-1609,186,16149,-81,-21,109,1,14,1564,300,
6733,-1610,182,16143,-82,-22,110,1,17,1561,299,
6754,-1610,188,16148,-76,-20,110,1,21,1561,293,
6774,-1608,188,16143,-78,-21,112,1,19,1565,305,
6794,-1614,185,16142,-76,-21,109,1,24,1554,302,
6815,-1612,177,16139,-80,-26,111,1,19,1557,303,
6835,-1612,182,16151,-79,-24,113,1,23,1565,299,
6855,-1610,170,16148,-77,-23,111,1,21,1561,303,
6875,-1606,172,16136,-73,-20,108,1,34,1560,304,
6896,-1611,169,16140,-80,-21,108,1,22,1556,300,
